recordId,personId,personType,grossSalary,deductions,netSalary,payPeriod,paymentDate,processedBy,status
SAL_00001,STAFF_0002,STAFF,41989,64,4198,96,37790,67,2025-02,2025-02-25,admin,PAID
SAL_00002,PLAYER_0003,PLAYER,98250,88,9825,09,88425,80,2025-03,2025-03-25,admin,PAID
SAL_00003,PLAYER_0004,PLAYER,80442,28,8044,23,72398,05,2025-04,2025-04-25,admin,PAID
SAL_00004,PLAYER_0005,PLAYER,93180,48,9318,05,83862,44,2025-05,2025-05-25,admin,PAID
SAL_00005,PLAYER_0006,PLAYER,6979,25,697,92,6281,32,2025-06,2025-06-25,admin,PAID
SAL_00006,PLAYER_0007,PLAYER,30534,18,3053,42,27480,76,2025-07,2025-07-25,admin,PAID
SAL_00007,PLAYER_0008,PLAYER,96167,64,9616,76,86550,88,2025-08,2025-08-25,admin,PAID
SAL_00008,STAFF_0009,STAFF,94405,12,9440,51,84964,60,2025-09,2025-09-25,admin,PAID
SAL_00009,STAFF_0010,STAFF,23370,90,2337,09,21033,81,2025-10,2025-10-25,admin,PAID
SAL_00010,PLAYER_0011,PLAYER,64055,77,6405,58,57650,19,2025-11,2025-11-25,admin,PAID
SAL_00011,PLAYER_0012,PLAYER,70528,50,7052,85,63475,65,2025-12,2025-12-25,admin,PAID
SAL_00012,PLAYER_0013,PLAYER,10203,30,1020,33,9182,97,2025-01,2025-01-25,admin,PAID
SAL_00013,PLAYER_0014,PLAYER,80812,17,8081,22,72730,95,2025-02,2025-02-25,admin,PAID
SAL_00014,STAFF_0015,STAFF,71099,14,7109,91,63989,23,2025-03,2025-03-25,admin,PAID
SAL_00015,STAFF_0016,STAFF,64397,89,6439,79,57958,10,2025-04,2025-04-25,admin,PAID
SAL_00016,STAFF_0017,STAFF,24477,28,2447,73,22029,55,2025-05,2025-05-25,admin,PAID
SAL_00017,PLAYER_0018,PLAYER,9755,99,975,60,8780,39,2025-06,2025-06-25,admin,PAID
SAL_00018,STAFF_0019,STAFF,19468,60,1946,86,17521,74,2025-07,2025-07-25,admin,PAID
SAL_00019,STAFF_0020,STAFF,37493,46,3749,35,33744,12,2025-08,2025-08-25,admin,PAID
SAL_00020,PLAYER_0021,PLAYER,18569,46,1856,95,16712,51,2025-09,2025-09-25,admin,PAID
SAL_00021,STAFF_0022,STAFF,61883,26,6188,33,55694,93,2025-10,2025-10-25,admin,PAID
SAL_00022,PLAYER_0023,PLAYER,48712,88,4871,29,43841,59,2025-11,2025-11-25,admin,PAID
SAL_00023,PLAYER_0024,PLAYER,98784,64,9878,46,88906,18,2025-12,2025-12-25,admin,PAID
SAL_00024,PLAYER_0025,PLAYER,27419,38,2741,94,24677,45,2025-01,2025-01-25,admin,PAID
SAL_00025,PLAYER_0026,PLAYER,12696,73,1269,67,11427,06,2025-02,2025-02-25,admin,PAID
SAL_00026,PLAYER_0027,PLAYER,14901,93,1490,19,13411,74,2025-03,2025-03-25,admin,PAID
SAL_00027,PLAYER_0028,PLAYER,45194,22,4519,42,40674,80,2025-04,2025-04-25,admin,PAID
SAL_00028,PLAYER_0029,PLAYER,30865,64,3086,56,27779,07,2025-05,2025-05-25,admin,PAID
SAL_00029,PLAYER_0030,PLAYER,81969,92,8196,99,73772,93,2025-06,2025-06-25,admin,PAID
SAL_00030,STAFF_0031,STAFF,95577,97,9557,80,86020,17,2025-07,2025-07-25,admin,PAID
SAL_00031,STAFF_0032,STAFF,71152,90,7115,29,64037,61,2025-08,2025-08-25,admin,PAID
SAL_00032,PLAYER_0033,PLAYER,18588,76,1858,88,16729,88,2025-09,2025-09-25,admin,PAID
SAL_00033,PLAYER_0034,PLAYER,56484,44,5648,44,50835,99,2025-10,2025-10-25,admin,PAID
SAL_00034,PLAYER_0035,PLAYER,80251,83,8025,18,72226,64,2025-11,2025-11-25,admin,PAID
SAL_00035,PLAYER_0036,PLAYER,90315,36,9031,54,81283,82,2025-12,2025-12-25,admin,PAID
SAL_00036,STAFF_0037,STAFF,55941,35,5594,13,50347,21,2025-01,2025-01-25,admin,PAID
SAL_00037,PLAYER_0038,PLAYER,53239,46,5323,95,47915,51,2025-02,2025-02-25,admin,PAID
SAL_00038,PLAYER_0039,PLAYER,30565,80,3056,58,27509,22,2025-03,2025-03-25,admin,PAID
